,index,Slope Score,geometry
0,0,-6.56747652982884e-06,"POLYGON ((77.24690974997284 16.45502054967031, 77.24673599623769 16.464041072140393, 77.2373878002232 16.46387314973425, 77.23756198423618 16.454852724337336, 77.24690974997284 16.45502054967031))"
1,1,9.329648469619129e-07,"POLYGON ((77.24673599623769 16.464041072140393, 77.24656213383587 16.473061585069637, 77.23721350727483 16.4728935655817, 77.2373878002232 16.46387314973425, 77.24673599623769 16.464041072140393))"
2,2,6.2910626096322804e-06,"POLYGON ((77.24656213383587 16.473061585069637, 77.24638816274388 16.482082088453087, 77.2370391053675 16.4819139718747, 77.23721350727483 16.4728935655817, 77.24656213383587 16.473061585069637))"
3,3,-5.330306291420635e-06,"POLYGON ((77.25625762435267 16.45518795976238, 77.2560843009188 16.46420857906562, 77.24673599623769 16.464041072140393, 77.24690974997284 16.45502054967031, 77.25625762435267 16.45518795976238))"
4,4,7.718821205753052e-06,"POLYGON ((77.2560843009188 16.46420857906562, 77.25591086908705 16.473229188836626, 77.24656213383587 16.473061585069637, 77.24673599623769 16.464041072140393, 77.2560843009188 16.46420857906562))"
5,5,2.2816145363343066e-05,"POLYGON ((77.25591086908705 16.473229188836626, 77.25573732883396 16.482249789070448, 77.24638816274388 16.482082088453087, 77.24656213383587 16.473061585069637, 77.25591086908705 16.473229188836626))"
6,7,-3.866739090331897e-06,"POLYGON ((77.26577839211032 16.446334229176966, 77.2656056071069 16.455354954592007, 77.25625762435267 16.45518795976238, 77.25643083941209 16.446167330931868, 77.26577839211032 16.446334229176966))"
7,8,-7.19210804053938e-06,"POLYGON ((77.2656056071069 16.455354954592007, 77.26543271399778 16.46437567048836, 77.2560843009188 16.46420857906562, 77.25625762435267 16.45518795976238, 77.2656056071069 16.455354954592007))"
8,9,9.647896808906273e-06,"POLYGON ((77.26543271399778 16.46437567048836, 77.26525971275956 16.473396376861068, 77.25591086908705 16.473229188836626, 77.2560843009188 16.46420857906562, 77.26543271399778 16.46437567048836))"
9,10,1.6479453973745622e-05,"POLYGON ((77.26525971275956 16.473396376861068, 77.26508660336887 16.482417073705186, 77.25573732883396 16.482249789070448, 77.25591086908705 16.473229188836626, 77.26525971275956 16.473396376861068))"
10,12,1.4513632530552107e-06,"POLYGON ((77.27547043932132 16.428459040348407, 77.27529830000128 16.437479881113394, 77.2659510690314 16.437313494248173, 77.26612363789351 16.428292749810584, 77.27547043932132 16.428459040348407))"
11,13,-1.2549698464529752e-06,"POLYGON ((77.27529830000128 16.437479881113394, 77.27512605289088 16.446500712378132, 77.26577839211032 16.446334229176966, 77.2659510690314 16.437313494248173, 77.27529830000128 16.437479881113394))"
12,14,1.552489417422648e-06,"POLYGON ((77.27512605289088 16.446500712378132, 77.27495369796685 16.455521534137674, 77.2656056071069 16.455354954592007, 77.26577839211032 16.446334229176966, 77.27512605289088 16.446500712378132))"
13,15,2.875638772933918e-06,"POLYGON ((77.27495369796685 16.455521534137674, 77.27478123520586 16.4645423463871, 77.26543271399778 16.46437567048836, 77.2656056071069 16.455354954592007, 77.27495369796685 16.455521534137674))"
14,16,1.720952811206127e-05,"POLYGON ((77.27478123520586 16.4645423463871, 77.27460866458458 16.47356314912144, 77.26525971275956 16.473396376861068, 77.26543271399778 16.46437567048836, 77.27478123520586 16.4645423463871))"
15,17,1.7496999129196837e-05,"POLYGON ((77.27460866458458 16.47356314912144, 77.27443598607968 16.482583942335765, 77.26508660336887 16.482417073705186, 77.26525971275956 16.473396376861068, 77.27460866458458 16.47356314912144))"
16,18,-9.362784247409887e-06,"POLYGON ((77.28516044555336 16.410583014140716, 77.28498895077242 16.419603969961724, 77.27564247087429 16.41943819008812, 77.27581439468344 16.410417330337463, 77.28516044555336 16.410583014140716))"
17,19,-7.68738066214428e-06,"POLYGON ((77.28498895077242 16.419603969961724, 77.28481734851619 16.42862491630089, 77.27547043932132 16.428459040348407, 77.27564247087429 16.41943819008812, 77.28498895077242 16.419603969961724))"
18,20,3.5356263448196347e-06,"POLYGON ((77.28481734851619 16.42862491630089, 77.28464563876149 16.43764585315327, 77.27529830000128 16.437479881113394, 77.27547043932132 16.428459040348407, 77.28481734851619 16.42862491630089))"
19,21,8.3551658968136e-06,"POLYGON ((77.28464563876149 16.43764585315327, 77.2844738214851 16.446666780513933, 77.27512605289088 16.446500712378132, 77.27529830000128 16.437479881113394, 77.28464563876149 16.43764585315327))"
20,22,2.3631706798669188e-05,"POLYGON ((77.2844738214851 16.446666780513933, 77.28430189666375 16.45568769837794, 77.27495369796685 16.455521534137674, 77.27512605289088 16.446500712378132, 77.2844738214851 16.446666780513933))"
21,23,1.969097581718518e-05,"POLYGON ((77.28430189666375 16.45568769837794, 77.28412986427422 16.464708606740366, 77.27478123520586 16.4645423463871, 77.27495369796685 16.455521534137674, 77.28430189666375 16.45568769837794))"
22,24,1.983892530709044e-05,"POLYGON ((77.28412986427422 16.464708606740366, 77.28395772429323 16.473729505596257, 77.27460866458458 16.47356314912144, 77.27478123520586 16.4645423463871, 77.28412986427422 16.464708606740366))"
23,25,1.560974917799481e-05,"POLYGON ((77.28395772429323 16.473729505596257, 77.28378547669747 16.482750394940698, 77.27443598607968 16.482583942335765, 77.27460866458458 16.47356314912144, 77.28395772429323 16.473729505596257))"
24,26,-9.648672597529414e-06,"POLYGON ((77.2946775624213 16.40172722269743, 77.29450660387535 16.410748283817238, 77.28516044555336 16.410583014140716, 77.28533183288219 16.4015620488428, 77.2946775624213 16.40172722269743))"
25,27,-6.189885422371748e-06,"POLYGON ((77.29450660387535 16.410748283817238, 77.29433553814582 16.419769335468626, 77.28498895077242 16.419603969961724, 77.28516044555336 16.410583014140716, 77.29450660387535 16.410748283817238))"
26,28,8.084099323062349e-06,"POLYGON ((77.29433553814582 16.419769335468626, 77.29416436520954 16.42879037764667, 77.28481734851619 16.42862491630089, 77.28498895077242 16.419603969961724, 77.29433553814582 16.419769335468626))"
27,29,9.91577036308321e-06,"POLYGON ((77.29416436520954 16.42879037764667, 77.2939930850434 16.43781141034643, 77.28464563876149 16.43764585315327, 77.28481734851619 16.42862491630089, 77.29416436520954 16.42879037764667))"
28,30,1.390173044260224e-05,"POLYGON ((77.2939930850434 16.43781141034643, 77.29382169762422 16.44683243356299, 77.2844738214851 16.446666780513933, 77.28464563876149 16.43764585315327, 77.2939930850434 16.43781141034643))"
29,31,2.6278983468379408e-05,"POLYGON ((77.29382169762422 16.44683243356299, 77.29365020292883 16.455853447291407, 77.28430189666375 16.45568769837794, 77.2844738214851 16.446666780513933, 77.29382169762422 16.44683243356299))"
30,32,1.7955641905114566e-05,"POLYGON ((77.29365020292883 16.455853447291407, 77.29347860093404 16.46487445152676, 77.28412986427422 16.464708606740366, 77.28430189666375 16.45568769837794, 77.29365020292883 16.455853447291407))"
31,33,1.6309301852141846e-05,"POLYGON ((77.29347860093404 16.46487445152676, 77.29330689161661 16.47389544626411, 77.28395772429323 16.473729505596257, 77.28412986427422 16.464708606740366, 77.29347860093404 16.46487445152676))"
32,34,1.6139321089947727e-05,"POLYGON ((77.29330689161661 16.47389544626411, 77.29313507495333 16.482916431498534, 77.28378547669747 16.482750394940698, 77.28395772429323 16.473729505596257, 77.29330689161661 16.47389544626411))"
33,35,1.338425279449848e-06,"POLYGON ((77.30402339912087 16.401891982644003, 77.30385286938095 16.41091313934574, 77.29450660387535 16.410748283817238, 77.2946775624213 16.40172722269743, 77.30402339912087 16.401891982644003))"
34,36,1.426115118220473e-05,"POLYGON ((77.30385286938095 16.41091313934574, 77.30368223272593 16.419934286587527, 77.29433553814582 16.419769335468626, 77.29450660387535 16.410748283817238, 77.30385286938095 16.41091313934574))"
35,37,2.277499667480723e-05,"POLYGON ((77.30368223272593 16.419934286587527, 77.30351148913276 16.42895542436444, 77.29416436520954 16.42879037764667, 77.29433553814582 16.419769335468626, 77.30368223272593 16.419934286587527))"
36,38,9.650855791163765e-06,"POLYGON ((77.30351148913276 16.42895542436444, 77.30334063857835 16.43797655267156, 77.2939930850434 16.43781141034643, 77.29416436520954 16.42879037764667, 77.30351148913276 16.42895542436444))"
37,39,1.9330273660990078e-05,"POLYGON ((77.30334063857835 16.43797655267156, 77.30316968103958 16.44699767150396, 77.29382169762422 16.44683243356299, 77.2939930850434 16.43781141034643, 77.30334063857835 16.43797655267156))"
38,40,2.3075002250885278e-05,"POLYGON ((77.30316968103958 16.44699767150396, 77.30299861649334 16.456018780856716, 77.29365020292883 16.455853447291407, 77.29382169762422 16.44683243356299, 77.30316968103958 16.44699767150396))"
39,41,1.896937720467301e-05,"POLYGON ((77.30299861649334 16.456018780856716, 77.30282744491647 16.465039880724916, 77.29347860093404 16.46487445152676, 77.29365020292883 16.455853447291407, 77.30299861649334 16.456018780856716))"
40,42,1.6636371597066273e-05,"POLYGON ((77.30282744491647 16.465039880724916, 77.30265616628586 16.474060971103608, 77.29330689161661 16.47389544626411, 77.29347860093404 16.46487445152676, 77.30282744491647 16.465039880724916))"
41,43,1.610134842924211e-05,"POLYGON ((77.30265616628586 16.474060971103608, 77.30248478057828 16.483082051987893, 77.29313507495333 16.482916431498534, 77.29330689161661 16.47389544626411, 77.30265616628586 16.474060971103608))"
42,44,1.571778031920449e-05,"POLYGON ((77.30248478057828 16.483082051987893, 77.30231328777059 16.492103123372836, 77.29296315092094 16.4919374072251, 77.29313507495333 16.482916431498534, 77.30248478057828 16.483082051987893))"
43,45,6.9643560152276545e-06,"POLYGON ((77.31353933699977 16.39303506717105, 77.31336934271248 16.40205632866131, 77.30402339912087 16.401891982644003, 77.30419382196877 16.39287081648725, 77.31353933699977 16.39303506717105))"
44,46,3.179670734165868e-07,"POLYGON ((77.31336934271248 16.40205632866131, 77.31319924180163 16.411077580704994, 77.30385286938095 16.41091313934574, 77.30402339912087 16.401891982644003, 77.31336934271248 16.40205632866131))"
45,47,3.7342546081939964e-05,"POLYGON ((77.31319924180163 16.411077580704994, 77.31302903424421 16.42009882329718, 77.30368223272593 16.419934286587527, 77.30385286938095 16.41091313934574, 77.31319924180163 16.411077580704994))"
46,48,3.659494335605986e-05,"POLYGON ((77.31302903424421 16.42009882329718, 77.31285872001723 16.429120056432957, 77.30351148913276 16.42895542436444, 77.30368223272593 16.419934286587527, 77.31302903424421 16.42009882329718))"
47,49,2.5549711826435678e-05,"POLYGON ((77.31285872001723 16.429120056432957, 77.31268829909764 16.4381412801074, 77.30334063857835 16.43797655267156, 77.30351148913276 16.42895542436444, 77.31285872001723 16.429120056432957))"
48,50,2.919343028929405e-05,"POLYGON ((77.31268829909764 16.4381412801074, 77.3125177714624 16.447162494315585, 77.30316968103958 16.44699767150396, 77.30334063857835 16.43797655267156, 77.31268829909764 16.4381412801074))"
49,51,2.7017010326315553e-05,"POLYGON ((77.3125177714624 16.447162494315585, 77.31234713708844 16.4561836990526, 77.30299861649334 16.456018780856716, 77.30316968103958 16.44699767150396, 77.3125177714624 16.447162494315585))"
50,52,2.091652718750698e-05,"POLYGON ((77.31234713708844 16.4561836990526, 77.31217639595269 16.465204894313526, 77.30282744491647 16.465039880724916, 77.30299861649334 16.456018780856716, 77.31234713708844 16.4561836990526))"
51,53,1.7918014207633473e-05,"POLYGON ((77.31217639595269 16.465204894313526, 77.31200554803203 16.47422608009345, 77.30265616628586 16.474060971103608, 77.30282744491647 16.465039880724916, 77.31217639595269 16.465204894313526))"
52,54,1.4495690029205288e-05,"POLYGON ((77.31200554803203 16.47422608009345, 77.31183459330337 16.483247256387447, 77.30248478057828 16.483082051987893, 77.30265616628586 16.474060971103608, 77.31200554803203 16.47422608009345))"
53,55,1.0974979113274277e-05,"POLYGON ((77.31183459330337 16.483247256387447, 77.31166353174356 16.4922684231906, 77.30231328777059 16.492103123372836, 77.30248478057828 16.483082051987893, 77.31183459330337 16.483247256387447))"
54,56,1.4626248293683274e-05,"POLYGON ((77.31166353174356 16.4922684231906, 77.31149236332946 16.501289580498, 77.30214168783955 16.50112418525353, 77.30231328777059 16.492103123372836, 77.31166353174356 16.4922684231906))"
55,57,-1.563312240033179e-05,"POLYGON ((77.32288495863136 16.393198904144395, 77.32271539292765 16.40222026072819, 77.31336934271248 16.40205632866131, 77.31353933699977 16.39303506717105, 77.32288495863136 16.393198904144395))"
56,58,8.113245809512414e-06,"POLYGON ((77.32271539292765 16.40222026072819, 77.32254572086886 16.41124160787384, 77.31319924180163 16.411077580704994, 77.31336934271248 16.40205632866131, 77.32271539292765 16.40222026072819))"
57,59,3.668019410383022e-05,"POLYGON ((77.32254572086886 16.41124160787384, 77.32237594243206 16.420262945576418, 77.31302903424421 16.42009882329718, 77.31319924180163 16.411077580704994, 77.32254572086886 16.41124160787384))"
58,60,3.017154860980967e-05,"POLYGON ((77.32237594243206 16.420262945576418, 77.32220605759429 16.42928427383102, 77.31285872001723 16.429120056432957, 77.31302903424421 16.42009882329718, 77.32237594243206 16.420262945576418))"
59,61,3.0293475533957788e-05,"POLYGON ((77.32220605759429 16.42928427383102, 77.32203606633257 16.438305592632727, 77.31268829909764 16.4381412801074, 77.31285872001723 16.429120056432957, 77.32220605759429 16.42928427383102))"
60,62,3.072207421790932e-05,"POLYGON ((77.32203606633257 16.438305592632727, 77.32186596862392 16.44732690197662, 77.3125177714624 16.447162494315585, 77.31268829909764 16.4381412801074, 77.32203606633257 16.438305592632727))"
61,63,2.005905429104019e-05,"POLYGON ((77.32186596862392 16.44732690197662, 77.32169576444534 16.4563482018578, 77.31234713708844 16.4561836990526, 77.3125177714624 16.447162494315585, 77.32186596862392 16.44732690197662))"
62,64,2.1290947168512216e-05,"POLYGON ((77.32169576444534 16.4563482018578, 77.32152545377379 16.465369492271353, 77.31217639595269 16.465204894313526, 77.31234713708844 16.4561836990526, 77.32169576444534 16.4563482018578))"
63,65,1.7191741207627866e-05,"POLYGON ((77.32152545377379 16.465369492271353, 77.32135503658623 16.474390773212356, 77.31200554803203 16.47422608009345, 77.31217639595269 16.465204894313526, 77.32152545377379 16.465369492271353))"
64,66,9.59894165639378e-06,"POLYGON ((77.32135503658623 16.474390773212356, 77.32118451285959 16.483412044675916, 77.31183459330337 16.483247256387447, 77.31200554803203 16.47422608009345, 77.32135503658623 16.474390773212356))"
65,67,1.2487531551172814e-05,"POLYGON ((77.32118451285959 16.483412044675916, 77.32101388257082 16.492433306657098, 77.31166353174356 16.4922684231906, 77.31183459330337 16.483247256387447, 77.32118451285959 16.483412044675916))"
66,68,1.4721747708888027e-05,"POLYGON ((77.32101388257082 16.492433306657098, 77.32084314569683 16.501454559151007, 77.31149236332946 16.501289580498, 77.31166353174356 16.4922684231906, 77.32101388257082 16.492433306657098))"
67,69,-1.3518400054940992e-05,"POLYGON ((77.3322306865951 16.393362327386196, 77.33206154949788 16.40238377882355, 77.32271539292765 16.40222026072819, 77.32288495863136 16.393198904144395, 77.3322306865951 16.393362327386196))"
68,70,8.047114273774099e-07,"POLYGON ((77.33206154949788 16.40238377882355, 77.3318923063141 16.411405220831153, 77.32254572086886 16.41124160787384, 77.32271539292765 16.40222026072819, 77.33206154949788 16.40238377882355))"
69,71,2.4221295041946753e-05,"POLYGON ((77.3318923063141 16.411405220831153, 77.33172295702087 16.420426653404093, 77.32237594243206 16.420262945576418, 77.32254572086886 16.41124160787384, 77.3318923063141 16.411405220831153))"
70,72,2.2114527646334068e-05,"POLYGON ((77.33172295702087 16.420426653404093, 77.3315535015953 16.429448076537472, 77.32220605759429 16.42928427383102, 77.32237594243206 16.420262945576418, 77.33172295702087 16.420426653404093))"
71,73,2.8820759742622128e-05,"POLYGON ((77.3315535015953 16.429448076537472, 77.33138394001446 16.438469490226385, 77.32203606633257 16.438305592632727, 77.32220605759429 16.42928427383102, 77.3315535015953 16.429448076537472))"
72,74,2.7424482368863413e-05,"POLYGON ((77.33138394001446 16.438469490226385, 77.33121427225541 16.447490894465904, 77.32186596862392 16.44732690197662, 77.32203606633257 16.438305592632727, 77.33138394001446 16.438469490226385))"
73,75,2.137610503589358e-05,"POLYGON ((77.33121427225541 16.447490894465904, 77.3310444982952 16.456512289251144, 77.32169576444534 16.4563482018578, 77.32186596862392 16.44732690197662, 77.33121427225541 16.447490894465904))"
74,76,1.8853515522345923e-05,"POLYGON ((77.3310444982952 16.456512289251144, 77.33087461811088 16.465533674577188, 77.32152545377379 16.465369492271353, 77.32169576444534 16.4563482018578, 77.3310444982952 16.456512289251144))"
75,77,2.246002050695531e-05,"POLYGON ((77.33087461811088 16.465533674577188, 77.33070463167947 16.47455505043913, 77.32135503658623 16.474390773212356, 77.32152545377379 16.465369492271353, 77.33087461811088 16.465533674577188))"
76,78,1.584914578875959e-05,"POLYGON ((77.33070463167947 16.47455505043913, 77.33053453897796 16.483576416832065, 77.32118451285959 16.483412044675916, 77.32135503658623 16.474390773212356, 77.33070463167947 16.47455505043913))"
77,79,8.905556100254082e-06,"POLYGON ((77.33053453897796 16.483576416832065, 77.33036433998332 16.492597773751086, 77.32101388257082 16.492433306657098, 77.32118451285959 16.483412044675916, 77.33053453897796 16.483576416832065))"
78,80,-1.8230622845610388e-06,"POLYGON ((77.34174512329513 16.38450378140804, 77.34157652062252 16.393525336875417, 77.3322306865951 16.393362327386196, 77.33239971762859 16.384340866524003, 77.34174512329513 16.38450378140804))"
79,81,-1.825198711391005e-06,"POLYGON ((77.34157652062252 16.393525336875417, 77.34140781215469 16.402546882926327, 77.33206154949788 16.40238377882355, 77.3322306865951 16.393362327386196, 77.34157652062252 16.393525336875417))"
80,82,1.380856252724277e-06,"POLYGON ((77.34140781215469 16.402546882926327, 77.34123899786881 16.41156841955587, 77.3318923063141 16.411405220831153, 77.33206154949788 16.40238377882355, 77.34140781215469 16.402546882926327))"
81,83,2.4052507826790327e-05,"POLYGON ((77.34123899786881 16.41156841955587, 77.34107007774205 16.420589946759144, 77.33172295702087 16.420426653404093, 77.3318923063141 16.411405220831153, 77.34123899786881 16.41156841955587))"
82,84,2.1399150372563024e-05,"POLYGON ((77.34107007774205 16.420589946759144, 77.34090105175159 16.429611464531238, 77.3315535015953 16.429448076537472, 77.33172295702087 16.420426653404093, 77.34107007774205 16.420589946759144))"
83,85,2.0971334354243663e-05,"POLYGON ((77.34090105175159 16.429611464531238, 77.34073191987453 16.43863297286727, 77.33138394001446 16.438469490226385, 77.3315535015953 16.429448076537472, 77.34090105175159 16.429611464531238))"
84,86,2.088458348900855e-05,"POLYGON ((77.34073191987453 16.43863297286727, 77.34056268208802 16.44765447176232, 77.33121427225541 16.447490894465904, 77.33138394001446 16.438469490226385, 77.34073191987453 16.43863297286727))"
85,87,2.101853551406723e-05,"POLYGON ((77.34056268208802 16.44765447176232, 77.34039333836918 16.45667596121149, 77.3310444982952 16.456512289251144, 77.33121427225541 16.447490894465904, 77.34056268208802 16.44765447176232))"
86,88,1.8548750495054014e-05,"POLYGON ((77.34039333836918 16.45667596121149, 77.34022388869509 16.465697441209894, 77.33087461811088 16.465533674577188, 77.3310444982952 16.456512289251144, 77.34039333836918 16.45667596121149))"
87,89,2.055645108118997e-05,"POLYGON ((77.34022388869509 16.465697441209894, 77.34005433304283 16.474718911752603, 77.33070463167947 16.47455505043913, 77.33087461811088 16.465533674577188, 77.34022388869509 16.465697441209894))"
88,90,1.9054482780577337e-05,"POLYGON ((77.34005433304283 16.474718911752603, 77.33988467138943 16.48374037283474, 77.33053453897796 16.483576416832065, 77.33070463167947 16.47455505043913, 77.34005433304283 16.474718911752603))"
89,91,2.086500624700114e-05,"POLYGON ((77.33988467138943 16.48374037283474, 77.33971490371196 16.492761824451392, 77.33036433998332 16.492597773751086, 77.33053453897796 16.483576416832065, 77.33988467138943 16.48374037283474))"
90,93,-5.746822309864953e-06,"POLYGON ((77.35109063473409 16.384666282758484, 77.3509224604452 16.39368793259106, 77.34157652062252 16.393525336875417, 77.34174512329513 16.38450378140804, 77.35109063473409 16.384666282758484))"
91,94,2.0855376492484223e-08,"POLYGON ((77.3509224604452 16.39368793259106, 77.35075418062954 16.402709573015517, 77.34140781215469 16.402546882926327, 77.34157652062252 16.393525336875417, 77.3509224604452 16.39368793259106))"
92,95,1.4637331145370694e-05,"POLYGON ((77.35075418062954 16.402709573015517, 77.35058579526438 16.411731204026978, 77.34123899786881 16.41156841955587, 77.34140781215469 16.402546882926327, 77.35075418062954 16.402709573015517))"
93,96,1.1232848346221532e-05,"POLYGON ((77.35058579526438 16.411731204026978, 77.35041730432692 16.42075282562053, 77.34107007774205 16.420589946759144, 77.34123899786881 16.41156841955587, 77.35058579526438 16.411731204026978))"
94,97,2.301660728539837e-05,"POLYGON ((77.35041730432692 16.42075282562053, 77.35024870779442 16.42977443779128, 77.34090105175159 16.429611464531238, 77.34107007774205 16.420589946759144, 77.35041730432692 16.42075282562053))"
95,98,1.4273920437096408e-05,"POLYGON ((77.35024870779442 16.42977443779128, 77.35008000564405 16.438796040534335, 77.34073191987453 16.43863297286727, 77.34090105175159 16.429611464531238, 77.35024870779442 16.42977443779128))"
96,99,1.0755188572638649e-05,"POLYGON ((77.35008000564405 16.438796040534335, 77.34991119785299 16.447817633844796, 77.34056268208802 16.44765447176232, 77.34073191987453 16.43863297286727, 77.35008000564405 16.438796040534335))"
